DRG,DRG_Cost_FFyear2012,DRG_Cost_FFyear2013,DRG_Cost_FFyear2014,DRG_Cost_FFyear2015,DRG_Cost_FFyear2016,DRG_Cost_FFyear2017,DRG_Cost_FFyear2018,DRG_Cost_FFyear2019,_2012_costweight,_2012_average_total,_2013_costweight,_2013_average_total,_2014_costweight,_2014_average_total,_2015_costweight,_2015_average_total,_2012_private,_2012_paed,_2013_private,_2013_paed,_2014_private,_2014_paed,_2015_private,_2015_paed,_2016_private,_2016_paed,ave_charge_1112,ave_charge_1213,ave_charge_1314,ave_charge_1415,ave_charge_1516,ave_charge_1617,ave_charge_1718,ave_charge_1819
D02A,29374,29652,31007,36127,36082,32994.08733,43142.45132,46890.06071,6,29374,6,29652,6,31007,7,36127,0.17,1,0.18,1,0.73,1,0.18,1,0.26,1,12677,11834,11755,13134,14058.99,15921.76,16427.62,17174.17
D02B,14559,15170,15542,17180,17726,9471.196912,22135.39653,23667.58944,3,14559,3,15170,3,15542,3,17180,0.18,1,0.16,1,0.7,1,0.16,1,0.23,1,4944,4884,5500,8140,6565.01,8411.48,6778.1,7079.6
D02C,8828,9084,8948,9210,10025,,10418.19538,11305.91678,2,8828,2,9084,2,8948,2,9210,0.13,0.9,0.16,1,0.72,0.95,0.23,1,0.1,1,3528,3800,3626,4099,4036.65,4172.1,4277.17,4401.66
D03A,,,,,,12424.39379,14569.01336,15711.94072,,,,,,,,,,,,,,,,,,,,,,,,,,
D03B,,,,,,8485.848859,10384.19877,9947.368664,,,,,,,,,,,,,,,,,,,,,,,,,,
D03Z,9590,9050,9372,9845,10374,10355.1,10591.4,10827.7,2,9590,2,9050,2,9372,2,9845,0.11,1.15,0.11,1.13,0.74,1,0.11,1.17,0.07,1.24,2149,2268,2028,3823,4347.24,3999.96,4573.6,4747.39
D04A,12211,12186,9997,12327,13329,13030.40475,18602.64738,20844.92128,3,12211,2,12186,,,2,12327,0.19,1,0.15,1,0.7,1,,,,,6373,7447,2350,6351,7789.47,7466.25,7345.586,7645.433429
D04B,8623,8478,9997,7427,7972,7804.990612,10341.65963,11209.07814,2,8623,2,8478,,,1,7427,0.14,1.13,0.16,1.22,0.66,0.92,,,,,4389,4483,2350,3312,4848.26,3404.46,3511.294667,3429.43981
D04Z,10417,10332,9997,9877,10650.5,,,,,,,,2,9997,,,,,,,,,0.21,1,0.21,0.95,,,4700,,,,6063.28,6670.77
D05Z,11339,11105,11245,11858,12652,12937.65197,13570.69633,13660.50272,2,11339,2,11105,2,11245,2,11858,0.17,1,0.2,1,0.72,1,0.16,1,0.2,1,4479,4635,4896,5221,5369.57,5566.89,5882.9,6223.08
D06Z,6357,6651,6383,6560,7148,7375.191707,7553.749224,8094.496897,1,6357,1,6651,1,6383,1,6560,0.26,1,0.34,1,0.73,1,0.27,1,0.29,1,2703,2765,2825,2994,3155.85,3167.85,3328.14,3460.84
D10Z,4591,4643,4871,4787,5138,5347.612658,5530.304441,5804.808827,1,4591,1,4643,1,4871,1,4787,0.26,0.89,0.25,0.88,0.74,0.8,0.27,0.8,0.24,0.8,2095,2243,2360,2503,2593.77,2667.77,2763.45,2865.74
D11Z,3410,3520,3656,3673,3836,3940.458087,4198.801621,4351.474533,1,3410,1,3520,1,3656,1,3673,0.18,1,0.2,1,0.77,0.89,0.19,0.89,0.17,0.9,1488,1560,1669,1772,1838.51,1870.08,1932.89,1999.09
D12A,,,11245,11757,11221,13219.54732,14579.17843,14721.76754,,,,,2,11245,2,11757,0.1,1.25,0.17,1.23,,,0.12,1.26,0.12,1.39,,,3434,3208,,3147.85,5068.91,4274.89
D12B,,,4277,4356,4507,4726.593987,4815.454488,4859.23464,,,,,1,4277,1,4356,0.2,1,0.23,1.1,,,0.21,1,0.21,1,,,2071,2214,,2351.74,2414.31,2440.82
D12Z,5251,5257,7761,8057,7864,9245.8,10048.4,10851,1,5251,1,5257,,,,,,,,,0.71,0.95,,,,,2017,2120,2753,2711,2555.47,2931.676,3098.47,3265.264
D13Z,1988,1985,2090,2199,2247,2383.836517,2573.107429,2836.373369,0,1988,0,1985,0,2090,0,2199,0.34,0.89,0.27,1,0.75,1,0.36,1,0.36,0.87,983,1038,1083,1164,1215.31,1230.55,1249.51,1296.31
D14A,,,9133,6632,6904,7142.961869,8450.666837,8882.992953,,,,,2,9133,1,6632,0.11,1.05,0.12,1.12,,,0.13,1,0.15,0.89,,,2280,1750,,1817.25,2746.12,2790.93
D14B,,,4183,2890,2977,2958.874349,3837.117929,3869.290319,,,,,1,4183,1,2890,0.18,1,0.18,1.11,,,0.14,0.89,0.13,1,,,1567,1483,,1532.34,1816.03,1823.13
